163.120.179.133,10.0.0.81,It,5 to Router 8005
85.21.138.42,10.0.0.84,of,1 to Router 8005
21.153.138.62,10.0.0.78,war.,2 to Router 8005
40.173.213.130,159.21.205.131,spaceships,2 to Router 8005
129.81.162.172,124.116.149.188,striking,2 to Router 8005
132.133.229.65,129.236.199.167,base,2 to Router 8005
141.134.121.228,10.0.0.96,have,2 to Router 8006
251.145.229.229,125.158.229.29,their,4 to Router 8005
67.234.52.1,240.115.229.25,first,1 to Router 8005
188.71.91.33,160.235.247.184,against,1 to Router 8005
218.34.61.114,106.184.139.63,the,2 to Router 8005
2.66.47.62,112.131.19.21,evil,4 to Router 8005
138.172.147.178,220.170.151.114,Galactic,1 to Router 8005
14.123.3.34,89.125.201.1,Empire.,4 to Router 8005
182.9.170.44,10.0.0.110,During,3 to Router 8006
90.26.174.116,226.40.186.90,the,3 to Router 8005
13.83.117.65,82.152.82.133,spies,1 to Router 8005
69.93.70.201,10.0.0.65,managed,3 to Router 8005
58.65.226.121,10.0.0.69,THE,0 to Router 8005
172.119.12.95,132.148.21.165,to,3 to Router 8005
63.12.23.98,10.0.0.86,the,1 to Router 8005
228.15.235.228,134.197.103.190,ultimate,1 to Router 8005
